rule_code,introduced_version,pr_number
A001,0.5.0,
A002,0.5.0,
A003,0.5.0,
A004,0.5.6,
A005,0.5.6,
A006,0.5.6,
AIR001,0.5.0,
AIR002,0.11.3,
AIR301,0.8.1,
AIR302,0.8.2,
AIR311,0.11.6,
AIR312,0.11.5,
ANN001,0.5.0,
ANN002,0.5.0,
ANN003,0.5.0,
ANN101,0.5.0,
ANN102,0.5.0,
ANN201,0.5.0,
ANN202,0.5.0,
ANN204,0.5.0,
ANN205,0.5.0,
ANN206,0.5.0,
ANN401,0.5.0,
ARG001,0.5.0,
ARG002,0.5.0,
ARG003,0.5.0,
ARG004,0.5.0,
ARG005,0.5.0,
ASYNC100,0.5.0,
ASYNC105,0.5.0,
ASYNC109,0.5.0,
ASYNC110,0.5.0,
ASYNC115,0.5.0,
ASYNC116,0.5.0,
ASYNC210,0.5.0,
ASYNC212,0.12.11,
ASYNC220,0.5.0,
ASYNC221,0.5.0,
ASYNC222,0.5.0,
ASYNC230,0.5.0,
ASYNC250,0.12.12,
ASYNC251,0.5.0,
B002,0.5.0,
B003,0.5.0,
B004,0.5.0,
B005,0.5.0,
B006,0.5.0,
B007,0.5.0,
B008,0.5.0,
B009,0.5.0,
B010,0.5.0,
B011,0.5.0,
B012,0.5.0,
B013,0.5.0,
B014,0.5.0,
B015,0.5.0,
B016,0.5.0,
B017,0.5.0,
B018,0.5.0,
B019,0.5.0,
B020,0.5.0,
B021,0.5.0,
B022,0.5.0,
B023,0.5.0,
B024,0.5.0,
B025,0.5.0,
B026,0.5.0,
B027,0.5.0,
B028,0.5.0,
B029,0.5.0,
B030,0.5.0,
B031,0.5.0,
B032,0.5.0,
B033,0.5.0,
B034,0.5.0,
B035,0.5.0,
B039,0.5.1,
B901,0.5.0,
B903,0.9.0,
B904,0.5.0,
B905,0.5.0,
B909,0.5.0,
B911,0.8.3,
BLE001,0.5.0,
C400,0.5.0,
C401,0.5.0,
C402,0.5.0,
C403,0.5.0,
C404,0.5.0,
C405,0.5.0,
C406,0.5.0,
C408,0.5.0,
C409,0.5.0,
C410,0.5.0,
C411,0.5.0,
C413,0.5.0,
C414,0.5.0,
C415,0.5.0,
C416,0.5.0,
C417,0.5.0,
C418,0.5.0,
C419,0.5.0,
C420,0.6.0,
C901,0.5.0,
COM812,0.5.0,
COM818,0.5.0,
COM819,0.5.0,
CPY001,0.5.0,
D100,0.5.0,
D101,0.5.0,
D102,0.5.0,
D103,0.5.0,
D104,0.5.0,
D105,0.5.0,
D106,0.5.0,
D107,0.5.0,
D200,0.5.0,
D201,0.5.0,
D202,0.5.0,
D203,0.5.0,
D204,0.5.0,
D205,0.5.0,
D206,0.5.0,
D207,0.5.0,
D208,0.5.0,
D209,0.5.0,
D210,0.5.0,
D211,0.5.0,
D212,0.5.0,
D213,0.5.0,
D214,0.5.0,
D215,0.5.0,
D300,0.5.0,
D301,0.5.0,
D400,0.5.0,
D401,0.5.0,
D402,0.5.0,
D403,0.5.0,
D404,0.5.0,
D405,0.5.0,
D406,0.5.0,
D407,0.5.0,
D408,0.5.0,
D409,0.5.0,
D410,0.5.0,
D411,0.5.0,
D412,0.5.0,
D413,0.5.0,
D414,0.5.0,
D415,0.5.0,
D416,0.5.0,
D417,0.5.0,
D418,0.5.0,
D419,0.5.0,
DJ001,0.5.0,
DJ003,0.5.0,
DJ006,0.5.0,
DJ007,0.5.0,
DJ008,0.5.0,
DJ012,0.5.0,
DJ013,0.5.0,
DOC201,0.5.6,
DOC202,0.5.6,
DOC402,0.5.7,
DOC403,0.5.7,
DOC501,0.5.5,
DOC502,0.5.5,
DTZ001,0.5.0,
DTZ002,0.5.0,
DTZ003,0.5.0,
DTZ004,0.5.0,
DTZ005,0.5.0,
DTZ006,0.5.0,
